Nom;GPS
CFA TRAVAUX PUBLICS PACA (Mallemort - 13);43.7316,5.18054
Université de Caen Normandie (14);49.1889,-0.36388
CFA Groupe ESA (Angers - 49);47.4592,-0.54405
Université Le Havre Normandie (76);49.4959,0.12911
Ecole supérieure d'art et de design TALM-Angers (49);47.4667,-0.54842
Lycée professionnel De L Estuaire (Blaye - 33);45.1268,-0.66294
Lycée polyvalent des métiers de l'aéronautique Jean Taris (Peyrehorade - 40);43.549,-1.09086
Université de Rennes 1 (35);48.1198,-1.64001
ANTENNE DE CFA ANNEXE DE ST ANDRE (Saint-André - 974);-20.9636,55.6579
Sorbonne Université – Lettres, Arts, Langues, Sciences Humaines et Sociales (Paris  5e  Arrondissement - 75);48.8483,2.34281
Lycée St Joseph La Joliverie (Saint-Sébastien-sur-Loire - 44);47.1897,-1.51701
CFA INDUSTRIE (Bruges - 33);44.8888,-0.61442
Institut de Formation de Manipulateurs d’Electroradiologie Médicale (Clermont-Ferrand - 63);45.7613,3.09133
Ecole Supérieure d'Art et Design Le Havre-Rouen (ESADHaR) site de Rouen (76);49.4482,1.1371
Lycée Militaire de Saint-Cyr (Saint-Cyr-l'Ecole - 78);48.7998,2.06806
Institut Supérieur de l'Enseignement Privé de Polynésie (Papeete - 987);-17.5516,-149.558
CFA CF Métiers du Bâtiment et des Travaux publics (Trappes - 78);48.7663,1.99961
Lycée polyvalent Nicolas Appert (Orvault - 44);47.2509,-1.6068
Lycée Hotellerie Et Tourisme (Guyancourt - 78);48.7629,2.07532
Centre de formation d'apprentis Gescia CCI Paris Ile-de-France (Enghien-les-Bains - 95);48.9693,2.30937
Université de Bourgogne - site de Dijon (21);47.3135,5.06427
Université des Antilles - Pôle Guadeloupe (Pointe-à-Pitre - 971);16.2243,-61.5289
Université des Antilles - Pôle Guadeloupe (Saint-Claude) (971);16.0264,-61.6953
Lycée professionnel Jean Nicoli (Bastia - 20);42.6985,9.45098
CIPECMA et Campus CIPECMA CFAI PC (Châtelaillon-Plage - 17);46.0814,-1.08733
CFA FORMAVENIR (Thyez - 74);46.0768,6.54091
Université de Brest - Site de Quimper (29);47.9723,-4.09372
CFA MFR de Basse Normandie CFA AGRIC (Maltot - 14);49.1311,-0.41092
Lycée Vauban (Brest - 29);48.4075,-4.48218
Lycée Roland Garros (Le Tampon - 974);-21.2734,55.5221
Lycée Stanislas (Cannes - 06);43.5526,7.00834
Formapole (Châtellerault - 86);46.8329,0.5349
L.E.G.T.A. Beaulieu-Lavacant (Auch - 32);43.6213,0.5779
Université du Mans (Le Mans - 72);48.0164,0.16211
Lycée Andre Argouges (Grenoble - 38);45.1767,5.74588
IPAC VILLE-LA-GRAND (74);46.2091,6.28211
CFAI Limousin - site de Tulle (19);45.2606,1.7513
CFAI Turgot (Limoges - 87);45.8284,1.24862
Lycée Joliot-Curie (Nanterre - 92);48.8903,2.20655
Lycée PIERRE MENDES FRANCE (Péronne - 80);49.9351,2.94059
Lycée professionnel Louis BLERIOT (Cambrai - 59);50.1628,3.25386
Lycée Gaston Berger (Lille - 59);50.6134,3.0784
Lycée professionnel Montaigne (Amiens - 80);49.9106,2.31961
Université de Strasbourg (67);48.5783,7.76272
Lycée professionnel des Métiers Châteauneuf (Argenton-sur-Creuse - 36);46.5826,1.5155
CDFA agricole de la Corrèze (Voutezac - 19);45.2763,1.42068
Lycée Louis Rascol (Albi - 81);43.9318,2.1543
Lycée Emile Littré (Avranches - 50);48.6769,-1.35867
CFA METIERS DE LA MECANIQUE AFORP (Issy-les-Moulineaux - 92);48.8187,2.27611
Lycée professionnel Le Dolmen (Poitiers - 86);46.5783,0.36675
Lycée Claude De France (Romorantin-Lanthenay - 41);47.3687,1.73965
CFA ORLEANS METROPOLE (45);47.9174,1.93076
AFORP Mantes-La-Ville (78);48.982,1.70955
Lycée professionnel Du Blavet (Pontivy - 56);48.0581,-2.95825
Lycée professionnel Leonard De Vinci (Montpellier - 34);43.6264,3.82385
Lycée Raoul Dautry (Limoges - 87);45.8395,1.27931
Université des Antilles - Pôle Martinique (Schoelcher - 972);14.6479,-61.0995
Lycée Marcel Dassault (Rochefort - 17);45.9474,-0.95889
Lycée professionnel La Providence (Dieuze - 57);48.8118,6.72036
Lycée Marcellin Berthelot (Questembert - 56);47.6634,-2.464
CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION (Tremblay-en-France - 93);48.9764,2.5033
Lycée agricole Besancon - Lycée Granvelle (Dannemarie-sur-Crète - 25);47.2014,5.87382
Lycée Professionnel Jehan Duperier (Saint-Médard-en-Jalles - 33);44.8961,-0.70544
Lycée professionnel Lino Ventura (Ozoir-la-Ferrière - 77);48.759,2.6923
Lycée professionnel Jean Prouve (Nancy - 54);48.6754,6.19629
Lycée Irene et Frederic Joliot Curie (Sète - 34);43.3964,3.66534
Lycée Henri Wallon (Valenciennes - 59);50.3641,3.52067
Lycée Hotellerie Et Tourisme d'Occitanie (Toulouse - 31);43.5971,1.40494
LYCEE POLYVALENT DE MAMOUDZOU NORD (976);-12.7668,45.225
Lycée professionnel Joseph Marie Jacquard (Lavelanet - 09);42.9232,1.84104
Lycée professionnel Jouffroy D'Abbans (Baume-les-Dames - 25);47.3496,6.35226
Lycée Joliot Curie (Dammarie-les-Lys - 77);48.5191,2.64791
Lycée Jeanne d'Arc (Rennes - 35);48.1194,-1.65369
Lycée Général et Technologique Albert Londres (Cusset - 03);46.1317,3.44232
Lycée professionnel Jean-Baptiste Colbert (Le Petit-Quevilly - 76);49.4211,1.05206
Facultés libres de l'ouest - UCO - Nantes (Rezé - 44);47.1763,-1.53884
Lycée professionnel Condorcet (Saint-Quentin - 02);49.8617,3.2938
CFA de l'Ain - AFPMA APPRENTISSAGE (Péronnas - 01);46.1836,5.20873
CFAI de SAVOIE (La Motte-Servolex - 73);45.5987,5.88592
CFA du CIRFAP (CENTRE INTER-REGIONAL DE FORMATION ALTERNEE DE LA PLASTURGIE) (Lyon 8e  Arrondissement - 69);45.7327,4.87684
Lycée Edmond Labbe (Douai - 59);50.3764,3.06851
Pôle formation UIMM Bretagne - CFA de l'Industrie BRUZ (35);48.0461,-1.7408
Lycée Jean Perrin (Marseille 10e  Arrondissement - 13);43.2746,5.42654
Lycée St Louis - Ste Marie (Gignac-la-Nerthe - 13);43.3953,5.23277
Lycée La Découverte (Decazeville - 12);44.5677,2.2524
CFA Jeanne d'Arc (Le Havre - 76);49.4979,0.10579
CFAI NORD FRANCHE COMTE (Exincourt - 25);47.501,6.84118
CFA AGROALIMENTAIRE MAMIROLLE (25);47.1969,6.16272
Roland Garros Lycée des métiers de la maintenance mécanique et de la productique (Toulouse - 31);43.6289,1.42937
LYCEE TECHNOLOGIQUE PRIVE ROBERT SCHUMAN (Dugny - 93);48.9493,2.41539
Lycée Ambroise Brugiere (Clermont-Ferrand - 63);45.8011,3.10765
Lycée Militaire d'Aix-en-Provence (13);43.527,5.45958
Lycée agricole François Pétrarque (Avignon - 84);43.9105,4.88321
CFA Régional des métiers Campus de Digne-les-Bains (04);44.1017,6.23609
Université Côte d'Azur (Nice - 06);43.7169,7.26729
Université de Limoges (87);45.8374,1.23451
Aix Marseille Université - Site d'Aix-en-Provence (13);43.5154,5.44724
Université de Tours (37);47.3561,0.70278
Lycée Saint Medard Inst N-D La Riche (Tours - 37);47.3926,0.677
Université de Poitiers (86);46.5856,0.34201
CFA MULTIMETIERS G.MAZAUBERT (Reignac - 33);45.2356,-0.51273
Université d'Amiens (80);49.8988,2.29936
Lycée La Providence (Amiens - 80);49.879,2.30104
Lycée professionnel privé Le Pinier Neuf (Beaupréau-en-Mauges - 49);47.1987,-1.00177
Aix-Marseille Université - Site de Marseille Colbert (Marseille  1er Arrondissement - 13);43.3004,5.37444
CNED (Lyon 4e  Arrondissement - 69);45.7797,4.82018
Lycée Costebelle (Hyères - 83);43.098,6.12533
Lycée polyvalent Leopold Elfort (Mana - 973);5.63833,-53.7067
Lycée professionnel Paul Painleve (Courbevoie - 92);48.8957,2.25795
Lycée Saint-Exupery (La Rochelle - 17);46.1569,-1.18157
CFAI Poitou-Charentes Campus CIPECMA (Châtelaillon-Plage - 17);46.0805,-1.08684
I.U.T de Béziers (34);43.3476,3.22234
Université Clermont Auvergne - Site de Vichy (03);46.1196,3.42526
Lycée Henri IV (Paris  5e  Arrondissement - 75);48.8463,2.34762
Lycée professionnel Olivier Guichard (Guérande - 44);47.3406,-2.42308
Université de Brest (29);48.392,-4.48844
Lycée Jean Jaures (Carmaux - 81);44.0456,2.13165
MFR Château Olonnes (Les Sables-d'Olonne - 85);46.4948,-1.76217
Lycée Les Trois Sources (Bourg-lès-Valence - 26);44.9554,4.90036
CFA-CCIV (Poitiers - 86);46.611,0.3461
CFA CCIP TECOMAH (Jouy-en-Josas - 78);48.7583,2.14504
Lycée Des métiers Jean DROUANT (Paris 17e  Arrondissement - 75);48.8807,2.30421
Lycée Marlioz (Aix-les-Bains - 73);45.6664,5.91194
Lycée professionnel Ducharmoy (Saint-Claude - 971);16.0181,-61.7155
Lycée agricole Convenance (Baie-Mahault - 971);16.2373,-61.599
CREPS de Bordeaux (Talence - 33);44.7984,-0.60049
CREPS de Strasbourg (67);48.5755,7.71082
CREPS Pays de la Loire - Antenne de Nantes (44);47.226,-1.52235
CREPS d'Ile de France - Antenne de Châtenay-Malabry (92);48.7654,2.2739
CREPS PACA - site d'Aix-en-Provence (13);43.5078,5.44529
Lycée des Métiers - Hotelier Raymond Mondon (Metz - 57);49.1055,6.20963
Lycée professionnel René Cassin (Metz - 57);49.1353,6.1684
Site de Avize du CFA agricole-viticole de la Marne (51);48.9754,4.02447
Lycée Alexandre Dumas (Hotelier) (Illkirch-Graffenstaden - 67);48.5285,7.71101
Université de Montpellier (34);43.6158,3.87204
CFAI Provence (Istres - 13);43.5028,4.9669
Lycée Jacques Duhamel (Dole - 39);47.0817,5.47086
Lycée des Métiers Marguerite Audoux (Gien - 45);47.7024,2.63368
Lycée Jean-Pierre Vernant (Sèvres - 92);48.8255,2.21153
Lycée Sainte Geneviève (Rennes - 35);48.0986,-1.68539
Lycée La Martinière-Diderot (Lyon 1er Arrondissement - 69);45.7679,4.82981
Lycée Camille Claudel (Vauréal - 95);49.033,2.0208
Lycée Joseph Savina (Tréguier - 22);48.7853,-3.23313
Lycée Le Paraclet (Quimper - 29);47.9951,-4.11407
Lycée Bréquigny (Rennes - 35);48.1173,-1.67779
Lycée Jules Verne (Sartrouville - 78);48.9428,2.16025
Lycée de la Communication Saint Géraud (Aurillac - 15);44.9316,2.44642
Lycée Hector Guimard (Lyon 7e  Arrondissement - 69);45.7457,4.85796
