Id;Name;Latitude;Longitude;Country_ISO;Population
3429980;Pilar;-34.45866;-58.9142;AR;226517
3430104;Paso de los Libres;-29.71251;-57.08771;AR;43805
3430340;Oberá;-27.48706;-55.11994;AR;56528
3430443;Necochea;-38.5545;-58.73961;AR;80478
3430513;Muñiz;-34.55622;-58.70739;AR;26221
3430545;Morón;-34.6509;-58.61956;AR;319934
3430598;Monte Caseros;-30.25359;-57.63626;AR;24671
3430601;Montecarlo;-26.5662;-54.757;AR;22229
3430697;Merlo;-34.66627;-58.72927;AR;244168
3430708;Mercedes;-34.65145;-59.43068;AR;52949
3430709;Mercedes;-29.18416;-58.07519;AR;30649
3430863;Mar del Plata;-38.00042;-57.5562;AR;553935
3430988;Luján;-34.57028;-59.105;AR;81749
3431057;Los Polvorines;-34.50316;-58.70596;AR;53354
3432043;La Plata;-34.92145;-57.95453;AR;694167
3432079;La Paz;-30.74179;-59.64517;AR;24716
3433349;Jardín América;-27.04346;-55.22698;AR;24905
3433522;Hurlingham;-34.5904;-58.62904;AR;60000
3433658;Gualeguaychú;-33.00937;-58.51722;AR;78676
3433663;Gualeguay;-33.14156;-59.30966;AR;33120
3433715;Goya;-29.13995;-59.26343;AR;70245
3433753;Gobernador Virasora;-28.05;-56.03333;AR;28756
3433787;General Pacheco;-34.45256;-58.64312;AR;43287
3433803;General José de San Martín;-26.53743;-59.34158;AR;31758
3433836;Garupá;-27.48171;-55.82921;AR;28814
3433899;Formosa;-26.18489;-58.17313;AR;221383
3433901;Fontana;-27.41813;-59.02392;AR;26745
3433956;Federal;-30.95465;-58.78326;AR;16333
3434095;Esquina;-30.01476;-59.5289;AR;26399
3434291;El Soberbio;-27.29847;-54.19877;AR;19571
3435010;Don Torcuato;-34.49459;-58.62729;AR;64867
3435038;Dolores;-36.31321;-57.67918;AR;25190
3435103;Curuzú Cuatiá;-29.79171;-58.0546;AR;36390
3435217;Corrientes;-27.46784;-58.8344;AR;339067
3435261;Concordia;-31.39296;-58.02089;AR;145210
3435264;Concepción del Uruguay;-32.48463;-58.23217;AR;67895
3435356;Colegiales;-34.57365;-58.44924;AR;57000
3435486;Chajarí;-30.75048;-57.97962;AR;30655
3435810;Campana;-34.16327;-58.95919;AR;81612
3435910;Buenos Aires;-34.61315;-58.37723;AR;13076300
3436003;Boedo;-34.63333;-58.41667;AR;48231
3436043;Berazategui;-34.76531;-58.21278;AR;167498
3436077;Belgrano;-34.5627;-58.45829;AR;138942
3436124;Barranqueras;-27.48132;-58.93925;AR;50823
3436134;Barracas;-34.64966;-58.38341;AR;77474
3436177;Balcarce;-37.84616;-58.25522;AR;38823
3436199;Azul;-36.77698;-59.85854;AR;53941
3436230;Avellaneda;-29.11761;-59.65834;AR;23077
3436287;Aristóbulo del Valle;-27.09625;-54.89626;AR;20683
3832132;Zapala;-38.89916;-70.05442;AR;31534
3832260;Yerba Buena;-26.81667;-65.31667;AR;50783
3832647;Villa Regina;-39.1;-67.06667;AR;31209
3832653;Villa Paula de Sarmiento;-31.4933;-68.53838;AR;19092
3832662;Villa Nueva;-32.43293;-63.24763;AR;16841
3832694;Villa María;-32.40751;-63.24016;AR;92453
3832756;Villa Dolores;-31.94585;-65.18958;AR;28009
3832778;Villa Constitución;-33.22778;-60.3297;AR;44271
3832791;Villa Carlos Paz;-31.42414;-64.49778;AR;69451
3832811;Villa Ángela;-27.57383;-60.71526;AR;43511
3832815;Villa Allende;-31.29458;-64.29538;AR;21683
3832899;Viedma;-40.81345;-62.99668;AR;48940
3832934;Victoria;-32.61841;-60.15478;AR;25139
3833027;Vera;-29.4593;-60.21261;AR;19797
3833062;Venado Tuerto;-33.74556;-61.96885;AR;72340
3833112;Veinticinco de Mayo;-35.4323;-60.17271;AR;24668
3833367;Ushuaia;-54.81084;-68.31591;AR;58028
3833412;Unquillo;-31.23073;-64.31615;AR;15369
3833794;Tres Isletas;-26.34067;-60.43207;AR;24747
3833859;Tres Arroyos;-38.37394;-60.27978;AR;47136
3833883;Trelew;-43.24895;-65.30505;AR;93442
3834502;Termas de Río Hondo;-27.49362;-64.85972;AR;27838
3834601;Tartagal;-22.51637;-63.80131;AR;60819
3834813;Tafí Viejo;-26.73201;-65.25921;AR;48459
3834971;Sunchales;-30.94404;-61.56148;AR;18757
3835793;Santo Tomé;-31.66274;-60.7653;AR;59072
3835869;Santiago del Estero;-27.79511;-64.26149;AR;354692
3835994;Santa Rosa;-36.61667;-64.28333;AR;111424
